,Expected Energy of Entire Decay (keV/atom of parent isotope),Isotope
237Pa,35020.66596230592,237Pa
237Pu,1.2403869644168484,237Pu
237U,34455.91596230592,237U
238Am,45423.71412055667,238Am
238Bk,100.84417703844606,238Bk
238Cm,100.84417703844606,238Cm
238Np,45633.94718379353,238Np
238Pa,45781.08718379352,238Pa
238Pu,45422.95718379352,238Pu
238Th,46347.75718379352,238Th
238U,44383.88718379352,238U
239Am,0.0001565087116195,239Am
239Cm,9.901001046954812e-06,239Cm
239Np,47918.404699824096,239Np
239Pa,49233.0946998241,239Pa
239Pu,47772.89469982409,239Pu
239U,48313.0946998241,239U
23Al,6057.490000000001,23Al
23F,4868.66,23F
23Mg,1335.39,23Mg
23Ne,1900.34,23Ne
23O,8631.99,23O
23Si,12318.9,23Si
240Am,0.0109454896666162,240Am
240Cf,6459.1702,240Cf
240Cm,48252.75104609,240Cm
240Es,5917.04106,240Es
240Np,45506.957182,240Np
240Pu,45153.677182,240Pu
240U,45613.387182,240U
241Am,39878.08596230592,241Am
241Cf,0.0,241Cf
241Cm,0.6053038696441685,241Cm
241Np,40301.14936005024,241Np
241Pu,39883.369360050245,241Pu
242Am,42744.29486099726,242Am
242Bk,51526.82718379351,242Bk
242Cf,16294.200778389464,242Cf
242Cm,51526.82718379353,242Cm
242Es,0.0,242Es
242Np,50161.09718379352,242Np
242Pu,49272.437183793525,242Pu
242U,50546.59718379352,242U
243Am,53189.6946998241,243Am
243Bk,53368.23570510409,243Bk
243Cf,46035.68450777565,243Cf
243Cm,53448.39355019461,243Cm
243Es,20900.107158032508,243Es
243Fm,2090.010715803251,243Fm
243Np,53350.254699824094,243Np
243Pu,53350.254699824094,243Pu
244Am,51059.677182,244Am
244Bk,2.459672937999698e-05,244Bk
244Cf,53292.93104609,244Cf
244Cm,50950.077182,244Cm
244Es,0.0,244Es
244Np,51104.97531816615,244Np
244Pu,50126.77531816615,244Pu
245Am,45530.30936005025,245Am
245Bk,47.86252315476709,245Bk
245Cf,889.0147222659843,245Cf
245Cm,45269.769360050246,245Cm
245Es,1236.192,245Es
245Fm,0.0,245Fm
245Pu,45773.05936005024,245Pu
246Am,49650.55244146996,246Am
246Bk,49259.55244146996,246Bk
246Cf,58272.42718379351,246Cf
246Cm,49259.55244146996,246Cm
246Es,57640.72897379351,246Es
246Fm,22241.416485458976,246Fm
246Md,0.0,246Md
246Pu,49701.212441469965,246Pu
247Am,58737.87469982409,247Am
247Bk,58755.1946998241,247Bk
247Cf,18.70770774256812,247Cf
247Cm,58298.974699824095,247Cm
247Fm,32667.54848497642,247Fm
247Md,29278.119730874478,247Md
248Cf,57197.63840238172,248Cf
248Cm,50176.487495972,248Cm
248Es,0.0430250614918234,248Es
248Fm,57723.7394937855,248Fm
248Md,333.20000000000005,248Md
249Bk,51121.808283264,249Bk
249Cf,51089.48936005025,249Cf
249Cm,51393.08828326399,249Cm
249Es,50798.77740669893,249Es
249Fm,34328.55572083608,249Fm
249Md,17362.49748833443,249Md
24Al,2026.05,24Al
24F,5861.37,24F
24Na,554.56,24Na
24Ne,1358.04,24Ne
24O,10468.14,24O
24Si,2026.05,24Si
250Bk,49484.58258609004,250Bk
250Cf,49221.62258609004,250Cf
250Cm,9220.916239464592,250Cm
250Es,1477.7865732440987,250Es
250Fm,58462.16146541418,250Fm
250Md,4072.927528165547,250Md
251Bk,64374.34469982409,251Bk
251Cf,64085.34469982409,251Cf
251Cm,64794.94469982409,251Cm
251Es,293.9380734991205,251Es
251Fm,291.2088765155026,251Fm
251Md,337.5879888639523,251Md
251No,36329.16422132854,251No
252Cf,54321.48148404694,252Cf
252Es,4017.4212,252Es
252Fm,64226.98114783847,252Fm
252Lr,28584.74887766516,252Lr
252No,41414.44812944193,252No
253Cf,57761.043856264,253Cf
253Es,57708.78828326399,253Es
253Fm,6229.208323206029,253Fm
253Lr,21039.08692098608,253Lr
253Md,6541.195306790479,253Md
253No,25867.123034515556,253No
254Cf,28.640826342340244,254Cf
254Es,55884.98067117996,254Es
254Fm,56370.741339599066,254Fm
254Lr,22410.421852935688,254Lr
254Md,56370.74133959906,254Md
254No,52615.94531887275,254No
255Cf,70782.0574998241,255Cf
255Es,70673.05749982409,255Es
255Fm,71139.56469982408,255Fm
255Lr,8443.690694897361,255Lr
255Md,61.637665144938445,255Md
255No,848.6520285561076,255No
255Rf,16880.38987990696,255Rf
256Db,24049.766214365605,256Db
256Es,4445.378130207802,256Es
256Fm,4445.378130207803,256Fm
256Lr,6102.116,256Lr
256Md,431.20503040000006,256Md
256No,72241.86915475494,256No
256Rf,132.5262340142142,256Rf
257Db,19776.741705726912,257Db
257Fm,64181.91819016585,257Fm
257Lr,15400.39530679048,257Lr
257Md,8815.5057424896,257Md
257No,11365.994574725124,257No
257Rf,20512.628566370837,257Rf
258Db,21668.460630504174,258Db
258Lr,63082.68918476949,258Lr
258Md,62633.07067117996,258Md
258Rf,2578.181320624765,258Rf
259Lr,2615.221178813052,259Lr
259No,57576.236024868085,259No
259Rf,8237.543866271619,259Rf
259Sg,19586.75389191626,259Sg
25Al,1452.54,25Al
25F,9868.990000000002,25F
25Na,1505.98,25Na
25Ne,4704.530000000001,25Ne
25Si,5818.97,25Si
260Bh,34209.766214365605,260Bh
260Db,13302.410624,260Db
260Lr,5487.364024320001,260Lr
260Sg,1479.273117007107,260Sg
261Bh,28049.749120440563,261Bh
261Db,18119.175351568192,261Db
261Rf,18817.99457472513,261Rf
261Sg,20512.628566370837,261Sg
262Bh,21668.460630504174,262Bh
262Db,45007.36335379556,262Db
263Db,2669.3846068896123,263Db
263Sg,7672.870706390135,263Sg
264Bh,13302.410624,264Bh
264Hs,739.6365585035537,264Hs
265Hs,29783.528566370835,265Hs
265Sg,11526.99728736256,265Sg
266Bh,45007.36335379556,266Bh
266Hs,0.0,266Hs
266Mt,16251.345472878134,266Mt
266Sg,0.0,266Sg
267Hs,6138.296565112107,267Hs
268Mt,13302.410624,268Mt
269Hs,20689.18728736256,269Hs
269Sg,0.0,269Sg
26Al,444.03,26Al
26F,20746.62,26F
26Na,3356.1,26Na
26Ne,6704.219999999999,26Ne
26P,7889.4,26P
26Si,2065.54,26Si
270Ds,0.0,270Ds
270Hs,0.0,270Hs
270Mt,45007.36335379556,270Mt
271Ds,16860.056565112107,271Ds
271Sg,0.0,271Sg
272Bh,9035.0,272Bh
272Rg,13302.410624,272Rg
273Ds,20689.187287362565,273Ds
273Hs,0.0,273Hs
274Bh,0.0,274Bh
274Mt,0.0,274Mt
274Rg,45007.36335379556,274Rg
275Hs,0.0,275Hs
276Mt,18654.61,276Mt
277Cn,20689.187287362565,277Cn
277Ds,0.0,277Ds
278Mt,0.0,278Mt
278Nh,45007.36335379556,278Nh
278Rg,0.0,278Rg
279Ds,0.0,279Ds
279Rg,0.0,279Rg
27F,18265.35,27F
27Mg,702.03,27Mg
27Na,4399.47,27Na
27Ne,11786.240000000002,27Ne
27P,859.06,27P
27S,859.06,27S
27Si,859.06,27Si
280Rg,28383.61,280Rg
281Cn,0.0,281Cn
281Ds,0.0,281Ds
282Nh,0.0,282Nh
282Rg,0.0,282Rg
283Cn,0.0,283Cn
284Nh,28383.61,284Nh
285Cn,0.0,285Cn
285Nh,0.0,285Nh
286Fl,0.0,286Fl
286Nh,0.0,286Nh
287Fl,0.0,287Fl
288Fl,0.0,288Fl
288Mc,38683.61,288Mc
289Fl,0.0,289Fl
289Mc,0.0,289Mc
28Al,1241.68,28Al
28Mg,1393.71,28Mg
28Na,7422.59,28Na
28Ne,12797.33,28Ne
28P,4593.15,28P
28S,6559.73,28S
290Lv,0.0,290Lv
290Mc,0.0,290Mc
292Lv,0.0,292Lv
293Lv,0.0,293Lv
293Ts,0.0,293Ts
294Og,0.0,294Og
294Ts,0.0,294Ts
29Al,976.73,29Al
29F,22328.14,29F
29Mg,3610.41,29Mg
29Na,7716.96,29Na
29Ne,14884.72,29Ne
29P,1770.12,29P
29S,5819.56,29S
30Al,2305.32,30Al
30Mg,4427.09,30Mg
30Na,8638.470000000001,30Na
30Ne,14402.41,30Ne
30P,1438.5,30P
30S,3519.13,30S
31Al,3260.31,31Al
31Cl,5706.88,31Cl
31Mg,7383.219999999999,31Mg
31Na,11681.6,31Na
31Ne,18545.4,31Ne
31S,1996.96,31S
31Si,595.64,31Si
32Al,6656.5,32Al
32Ar,11119.23,32Ar
32Cl,7562.44,32Cl
32Mg,10502.2,32Mg
32Na,15388.89,32Na
32Ne,21452.22,32Ne
32P,695.03,32P
32Si,764.5799999999999,32Si
33Al,7780.1,33Al
33Ar,5889.04,33Ar
33Cl,2082.11,33Cl
33Mg,13019.61,33Mg
33Na,15919.23,33Na
33P,76.43,33P
33Si,2708.02,33Si
34Al,7398.42,34Al
34Ar,4339.85,34Ar
34Cl,2050.55,34Cl
34Mg,11268.42,34Mg
34Na,18844.42,34Na
34P,2303.62,34P
34Si,2990.16,34Si
35Al,8004.92,35Al
35Ar,2269.34,35Ar
35Ca,5863.16,35Ca
35K,5863.16,35K
35Mg,13292.92,35Mg
35Na,20822.92,35Na
35P,1070.95,35P
35S,48.76,35S
35Si,2492.79,35Si
36Al,10904.85,36Al
36Ca,6816.66,36Ca
36Cl,241.87549357,36Cl
36K,3494.13,36K
36Mg,15714.85,36Mg
36P,1872.46,36P
36Si,4781.52,36Si
37Al,9806.21,37Al
37Ca,5596.81,37Ca
37K,2342.84,37K
37P,3433.52,37P
37S,799.85,37S
37Si,7576.85,37Si
38Ca,3643.03,38Ca
38Cl,1526.02,38Cl
38K,1205.65,38K
38P,3938.64,38P
38S,1981.84,38S
38Si,7008.31,38Si
39Al,18598.33,39Al
39Ar,218.8,39Ar
39Ca,2556.28,39Ca
39Cl,1045.16,39Cl
39P,6698.21,39P
39S,3234.88,39S
39Si,11762.35,39Si
39Ti,329.23,39Ti
3H,5.69,3H
40Cl,1515.71,40Cl
40K,446.4894911840001,40K
40P,6830.39,40P
40S,2766.8900000000003,40S
40Sc,3376.48,40Sc
40Si,11343.72,40Si
40Ti,6937.360000000001,40Ti
41Ar,464.05,41Ar
41Cl,2023.75,41Cl
41P,9467.09,41P
41S,4790.42,41S
41Sc,2541.42,41Sc
41Si,15358.86,41Si
41Ti,5890.02,41Ti
42Ar,1663.46,42Ar
42Cl,3311.15,42Cl
42Cr,0.0,42Cr
42K,1430.46,42K
42P,11939.01,42P
42S,5722.34,42S
42Sc,2507.83,42Sc
42Si,18145.55,42Si
42Ti,5251.389999999999,42Ti
43Ar,1666.5,43Ar
43Cl,3635.2,43Cl
43Cr,0.0,43Cr
43K,317.21,43K
43P,7678.53,43P
43S,7678.53,43S
43Sc,419.49,43Sc
43Ti,3056.0,43Ti
44Ar,2054.7,44Ar
44Cl,6078.03,44Cl
44Cr,4215.33,44Cr
44K,1447.9,44K
44S,9914.7,44S
44Sc,595.79,44Sc
44V,4215.33,44V
45Ar,2931.12,45Ar
45Ca,76.86,45Ca
45Cl,7418.32,45Cl
45Fe,0.0,45Fe
45K,1059.96,45K
45S,11209.42,45S
45Ti,372.24,45Ti
45V,3222.54,45V
46Ar,4050.35,46Ar
46Cl,11251.18,46Cl
46Cr,5903.33,46Cr
46Fe,7450.99,46Fe
46K,2320.77,46K
46Mn,6782.99,46Mn
46S,15641.41,46S
46Sc,111.82,46Sc
46V,2814.33,46V
47Ar,5918.93,47Ar
47Ca,560.66,47Ca
47Cl,9555.009999999998,47Cl
47Cr,3811.65,47Cr
47Fe,3811.65,47Fe
47K,2370.19,47K
47Mn,3811.65,47Mn
47Sc,161.97,47Sc
47V,803.03,47V
48Ar,5437.8524,48Ar
48Ca,69.1724,48Ca
48Cr,291.42,48Cr
48Fe,3525.42,48Fe
48K,2727.0524,48K
48Mn,3406.15,48Mn
48Sc,220.42,48Sc
48V,289.87,48V
49Ar,7626.110000000001,49Ar
49Ca,1687.28,49Ca
49Cr,969.1,49Cr
49Fe,6049.93,49Fe
49K,4158.09,49K
49Mn,4074.01,49Mn
49Sc,823.65,49Sc
4H,2886.08,4H
50Ar,12276.28,50Ar
50Ca,2956.15,50Ca
50Co,8807.09,50Co
50Fe,6336.23,50Fe
50K,8142.950000000001,50K
50Mn,3099.76,50Mn
50Ni,8807.09,50Ni
50Sc,1619.75,50Sc
50V,0.0037029999999999,50V
51Ca,4892.9400000000005,51Ca
51Fe,4204.01,51Fe
51K,9115.92,51K
51Mn,934.81,51Mn
51Ni,0.0,51Ni
51Sc,2709.62,51Sc
51Ti,867.74,51Ti
52Ca,7578.7,52Ca
52Co,259.7,52Co
52Fe,259.7,52Fe
52K,12431.18,52K
52Mn,71.03,52Mn
52Ni,259.7,52Ni
52Sc,4709.25,52Sc
52Ti,1810.37,52Ti
52V,1068.37,52V
53Ca,1713.6,53Ca
53Co,4495.75,53Co
53Fe,1098.32,53Fe
53K,2826.6,53K
53Ni,4495.75,53Ni
53Ti,2422.61,53Ti
53V,1009.04,53V
54Ca,12357.38,54Ca
54Co,3399.73,54Co
54K,17680.21,54K
54Mn,2.0739e-10,54Mn
54Ni,6967.88,54Ni
54Sc,8299.2,54Sc
54Ti,4764.1,54Ti
54V,1539.4,54V
55Ca,15426.009999999998,55Ca
55Co,430.39,55Co
55Cr,1100.99,55Cr
55Ni,4051.07,55Ni
55Sc,10585.31,55Sc
55Ti,6555.31,55Ti
55V,3483.42,55V
56Ca,17640.96,56Ca
56Co,121.04,56Co
56Cr,1422.4299999999998,56Cr
56Mn,832.43,56Mn
56Ni,121.040652,56Ni
56Sc,12581.8,56Sc
56Ti,8025.13,56Ti
56V,5645.129999999999,56V
57Cr,3041.84,57Cr
57Cu,3906.8,57Cu
57Mn,1092.91,57Mn
57Ni,306.74,57Ni
57Sc,15495.45,57Sc
57Ti,11208.78,57Ti
57V,6600.73,57V
57Zn,6627.3,57Zn
58Co,29.97,58Co
58Cr,4776.32,58Cr
58Cu,3291.08,58Cu
58Mn,2812.07,58Mn
58Sc,15243.22,58Sc
58Ti,9829.89,58Ti
58V,6683.219999999999,58V
58Zn,7122.28,58Zn
59Cr,4635.01,59Cr
59Cu,1487.57000914,59Cu
59Fe,117.49,59Fe
59Mn,2155.01,59Mn
59Ni,9.14e-06,59Ni
59Ti,12231.63,59Ti
59V,8051.68,59V
59Zn,5315.07000914,59Zn
60Co,96.41,60Co
60Cr,6925.82,60Cr
60Cu,901.29,60Cu
60Fe,146.61,60Fe
60Ga,6625.66,60Ga
60Mn,3993.71,60Mn
60Ti,14982.49,60Ti
60V,11345.82,60V
60Zn,2025.95,60Zn
61Co,459.71,61Co
61Cr,7913.6,61Cr
61Cu,306.69,61Cu
61Fe,1600.47,61Fe
61Ga,6030.01,61Ga
61Ge,8378.51,61Ge
61Mn,4098.82,61Mn
61Ti,18500.02,61Ti
61V,13445.22,61V
61Zn,2167.67,61Zn
62Co,1611.74,62Co
62Cr,9929.67,62Cr
62Cu,1290.4,62Cu
62Fe,2437.74,62Fe
62Ga,5167.49,62Ga
62Mn,6368.01,62Mn
62V,15185.34,62V
62Zn,1311.35,62Zn
63Co,1546.21,63Co
63Cr,11152.22,63Cr
63Fe,4482.22,63Fe
63Ga,2809.62,63Ga
63Mn,7545.55,63Mn
63Ni,17.43,63Ni
63V,15858.89,63V
63Zn,919.78,63Zn
64Co,3288.65,64Co
64Cr,13616.48,64Cr
64Cu,58.37325,64Cu
64Fe,5526.15,64Fe
64Ga,1700.77,64Ga
64Ge,2822.74,64Ge
64Mn,9238.9,64Mn
64V,19379.81,64V
65Co,3549.78,65Co
65Cr,14301.81,65Cr
65Fe,6591.48,65Fe
65Ga,801.34,65Ga
65Ge,2914.54,65Ge
65Mn,10008.48,65Mn
65Ni,627.89,65Ni
65V,19475.24,65V
65Zn,2.02,65Zn
66As,1073.22,66As
66Co,4360.030000000001,66Co
66Cr,15229.03,66Cr
66Cu,1066.63,66Cu
66Fe,6627.030000000001,66Fe
66Ga,992.45,66Ga
66Ge,1073.22,66Ge
66Mn,11366.03,66Mn
66Ni,1140.0300000000002,66Ni
67As,3200.82,67As
67Co,4690.79,67Co
67Cu,141.21,67Cu
67Fe,8398.79,67Fe
67Ge,1132.55,67Ge
67Mn,12929.79,67Mn
67Ni,1680.79,67Ni
67Se,3200.82,67Se
68As,1998.38,68As
68Co,5877.969999999999,68Co
68Cr,18069.97,68Cr
68Cu,1417.96,68Cu
68Fe,8606.970000000001,68Fe
68Ga,737.55,68Ga
68Mn,13678.97,68Mn
68Ni,2081.66,68Ni
68Se,3505.0600000000004,68Se
69As,1334.17,69As
69Co,6144.35,69Co
69Cu,1210.73,69Cu
69Fe,10190.35,69Fe
69Ge,116.27,69Ge
69Kr,2496.56,69Kr
69Mn,15174.35,69Mn
69Ni,2583.35,69Ni
69Se,3460.2200000000003,69Se
69Zn,321.6,69Zn
6He,1567.6,6He
70As,887.74,70As
70Br,1139.09,70Br
70Co,6912.139999999999,70Co
70Cu,1329.05,70Cu
70Fe,10232.14,70Fe
70Ga,639.417595,70Ga
70Kr,3385.42,70Kr
70Mn,15677.14,70Mn
70Ni,2758.14,70Ni
70Se,1139.09,70Se
71As,98.99,71As
71Br,2847.08,71Br
71Co,8826.26,71Co
71Cu,1902.26,71Cu
71Fe,13227.26,71Fe
71Kr,7083.27,71Kr
71Ni,4724.26,71Ni
71Se,1466.48,71Se
71Zn,1043.31,71Zn
72As,1025.76,72As
72Br,2675.97,72Br
72Co,9749.47,72Co
72Cu,3041.68,72Cu
72Fe,13810.47,72Fe
72Ga,471.15,72Ga
72Kr,4360.91,72Kr
72Ni,5141.469999999999,72Ni
72Zn,551.68,72Zn
73Br,1664.38,73Br
73Co,12169.91,73Co
73Cu,4170.91,73Cu
73Fe,17072.91,73Fe
73Ga,443.29,73Ga
73Kr,4288.54,73Kr
73Ni,7451.91,73Ni
73Se,359.63,73Se
73Sr,0.0,73Sr
73Zn,2185.91,73Zn
74As,130.4368,74As
74Br,1052.57,74Br
74Co,12859.68,74Co
74Cu,5009.68,74Cu
74Ga,989.9,74Ga
74Kr,1657.56,74Kr
74Ni,7692.68,74Ni
74Rb,6109.950000000001,74Rb
74Zn,2498.68,74Zn
75Br,546.16,75Br
75Co,14088.01,75Co
75Cu,5002.01,75Cu
75Ga,420.59,75Ga
75Ge,420.59,75Ge
75Kr,2026.68,75Kr
75Ni,8829.01,75Ni
75Rb,3341.86,75Rb
75Sr,7748.88,75Sr
75Zn,2314.01,75Zn
76As,1064.64,76As
76Br,645.88,76Br
76Co,15748.82,76Co
76Cu,6503.82,76Cu
76Ga,1800.82,76Ga
76Kr,645.88,76Kr
76Ni,9882.82,76Ni
76Rb,3000.65,76Rb
76Sr,4085.95,76Sr
76Zn,3390.82,76Zn
77As,225.47,77As
77Br,1.11,77Br
77Co,16785.670000000002,77Co
77Cu,6657.67,77Cu
77Ga,856.02,77Ga
77Ge,856.02,77Ge
77Kr,664.96,77Kr
77Ni,11138.67,77Ni
77Rb,2335.26,77Rb
77Sr,4993.65,77Sr
77Y,4993.65,77Y
77Zn,3391.3,77Zn
78As,1257.37,78As
78Br,1023.357654395,78Br
78Cu,10142.830000000002,78Cu
78Ga,4062.83,78Ga
78Ge,1484.5099999999998,78Ge
78Ni,14071.829999999998,78Ni
78Rb,1178.33,78Rb
78Sr,1178.33,78Sr
78Y,1178.33,78Y
78Zn,6312.83,78Zn
79As,894.8,79As
79Cu,11758.0,79Cu
79Ga,5033.0,79Ga
79Ge,2586.84,79Ge
79Kr,18.25,79Kr
79Ni,15764.33,79Ni
79Rb,789.69,79Rb
79Se,55.8,79Se
79Sr,2673.19,79Sr
79Y,3968.85,79Y
79Zn,8049.0,79Zn
80As,2147.7,80As
80Br,658.57395,80Br
80Cu,13236.97,80Cu
80Ga,6319.969999999999,80Ga
80Ge,3197.97,80Ge
80Ni,18541.97,80Ni
80Rb,2038.0,80Rb
80Sr,2073.78,80Sr
80Y,4178.280000000001,80Y
80Zn,8909.970000000001,80Zn
80Zr,4178.280000000001,80Zr
81As,2185.62,81As
81Cu,14079.44,81Cu
81Ga,6217.51,81Ga
81Ge,3858.78,81Ge
81Rb,117.56,81Rb
81Se,610.71,81Se
81Sr,1461.81,81Sr
81Y,3529.84,81Y
81Zn,10249.51,81Zn
81Zr,3529.84,81Zr
82As,2663.86,82As
82Br,145.34,82Br
82Cu,16829.36,82Cu
82Ga,7908.64,82Ga
82Ge,4112.72,82Ge
82Nb,8175.54,82Nb
82Rb,1411.96,82Rb
82Y,3165.58,82Y
82Zn,12140.36,82Zn
82Zr,3165.58,82Zr
83As,773.76,83As
83Br,327.45,83Br
83Ga,7343.76,83Ga
83Ge,3462.76,83Ge
83Nb,3850.09,83Nb
83Se,773.76,83Se
83Sr,139.38,83Sr
83Y,1562.2800000000002,83Y
83Zn,7343.76,83Zn
83Zr,3850.09,83Zr
84As,4969.43,84As
84Br,1229.06,84Br
84Ga,11743.43,84Ga
84Ge,7515.43,84Ge
84Mo,4843.23,84Mo
84Nb,4843.23,84Nb
84Rb,137.27691,84Rb
84Se,1769.4299999999998,84Se
84Y,975.71,84Y
84Zr,975.71,84Zr
85As,6011.42,85As
85Br,1308.47,85Br
85Ga,13549.42,85Ga
85Ge,9040.42,85Ge
85Kr,250.68,85Kr
85Mo,1758.82,85Mo
85Nb,1758.82,85Nb
85Se,3175.42,85Se
85Y,481.99,85Y
85Zr,1758.82,85Zr
86As,6631.3,86As
86Br,1687.0,86Br
86Ga,14640.3,86Ga
86Ge,9993.3,86Ge
86Mo,212.31,86Mo
86Nb,212.31,86Nb
86Rb,668.8652172,86Rb
86Se,3314.3,86Se
86Tc,5842.330000000001,86Tc
86Y,212.31,86Y
86Zr,212.31,86Zr
87As,8101.57,87As
87Br,2582.57,87Br
87Ga,16898.57,87Ga
87Ge,11634.57,87Ge
87Kr,1412.57,87Kr
87Mo,5258.241,87Mo
87Nb,2651.161,87Nb
87Rb,81.7,87Rb
87Se,4661.57,87Se
87Y,0.361,87Y
87Zr,823.0409999999999,87Zr
88As,10087.53,88As
88Br,4122.71,88Br
88Kr,2416.71,88Kr
88Mo,1303.29,88Mo
88Nb,1303.29,88Nb
88Rb,2051.37,88Rb
88Se,6335.530000000001,88Se
88Tc,4300.91,88Tc
88Y,0.755,88Y
89Br,5131.43,89Br
89Kr,2772.56,89Kr
89Mo,3154.4300000000003,89Mo
89Nb,1170.49,89Nb
89Rb,1522.56,89Rb
89Se,8257.43,89Se
89Sr,587.06,89Sr
89Tc,3154.4300000000003,89Tc
89Zr,89.94,89Zr
8B,6381.46,8B
8Be,45.95,8Be
8He,10693.95,8He
8Li,6293.95,8Li
90Br,7075.0,90Br
90Kr,4175.610000000001,90Kr
90Mo,457.34,90Mo
90Nb,338.57,90Nb
90Rb,3045.61,90Rb
90Ru,0.0,90Ru
90Se,9979.0,90Se
90Sr,1129.41,90Sr
90Y,933.61,90Y
91Br,8141.05,91Br
91Kr,4724.05,91Kr
91Mo,1449.426,91Mo
91Nb,0.186,91Nb
91Rb,2635.48,91Rb
91Rh,9843.476,91Rh
91Ru,6143.876,91Ru
91Se,11926.05,91Se
91Sr,1246.48,91Sr
91Tc,3110.876,91Tc
91Y,603.0,91Y
92Br,11151.35,92Br
92Kr,7147.410000000001,92Kr
92Nb,0.0,92Nb
92Rb,5156.73,92Rb
92Rh,2383.88,92Rh
92Ru,2383.88,92Ru
92Sr,1658.73,92Sr
92Tc,1652.03,92Tc
92Y,1450.19,92Y
93Br,10590.38,93Br
93Kr,7041.389999999999,93Kr
93Pd,5566.599999999999,93Pd
93Rb,4171.09,93Rb
93Rh,5566.599999999999,93Rh
93Ru,2401.65,93Ru
93Sr,1982.99,93Sr
93Tc,37.99,93Tc
93Y,1191.49,93Y
93Zr,19.2,93Zr
94Br,12087.0,94Br
94Kr,8068.0,94Kr
94Nb,143.66,94Nb
94Pd,2884.8,94Pd
94Rb,5121.0,94Rb
94Rh,2884.8,94Rh
94Se,16276.0,94Se
94Sr,2671.0,94Sr
94Tc,37.66,94Tc
94Y,1829.4,94Y
95Ag,2946.02,95Ag
95Br,12697.43,95Br
95Kr,9104.43,95Kr
95Nb,43.43,95Nb
95Rb,6049.43,95Rb
95Rh,952.43,95Rh
95Ru,72.58,95Ru
95Sr,3476.4300000000003,95Sr
95Tc,0.0,95Tc
95Y,1575.13,95Y
95Zr,160.43,95Zr
96Ag,3173.27,96Ag
96Br,15808.67,96Br
96Kr,11339.67,96Kr
96Nb,249.09,96Nb
96Pd,887.41,96Pd
96Rb,8266.67,96Rb
96Rh,680.92,96Rh
96Sr,4608.31,96Sr
96Tc,0.0,96Tc
96Y,2656.43,96Y
97Kr,12497.63,97Kr
97Nb,467.5,97Nb
97Pd,1281.38,97Pd
97Rb,8663.630000000001,97Rb
97Rh,518.61,97Rh
97Ru,0.0,97Ru
97Sr,5651.87,97Sr
97Y,3368.96,97Y
97Zr,1172.4,97Zr
98Ag,2663.2200000000003,98Ag
98Cd,3614.36,98Cd
98Kr,14410.96,98Kr
98Nb,1627.5,98Nb
98Pd,1336.48,98Pd
98Rb,10918.96,98Rb
98Rh,1320.6,98Rh
98Sr,7288.27,98Sr
98Tc,118.0,98Tc
98Y,5187.280000000001,98Y
98Zr,2537.5,98Zr
99Ag,1773.82,99Ag
99Cd,1773.8200000000002,99Cd
99Kr,17057.519999999997,99Kr
99Mo,474.23,99Mo
99Nb,1863.4,99Nb
99Pd,455.8,99Pd
99Rb,12758.52,99Rb
99Rh,12.63,99Rh
99Sr,9104.53,99Sr
99Tc,84.6,99Tc
99Y,5910.06,99Y
99Zr,3558.24,99Zr
9C,0.0,9C
9Li,5710.0,9Li
